fecha,sku,ventas
2023-01-01,SKU-A,93
2023-01-02,SKU-A,116
2023-01-03,SKU-A,100
2023-01-04,SKU-A,97
2023-01-05,SKU-A,84
2023-01-06,SKU-A,82
2023-01-07,SKU-A,102
2023-01-08,SKU-A,105
2023-01-09,SKU-A,116
2023-01-10,SKU-A,103
2023-01-11,SKU-A,98
2023-01-12,SKU-A,104
2023-01-13,SKU-A,100
2023-01-14,SKU-A,91
2023-01-15,SKU-A,112
2023-01-16,SKU-A,83
2023-01-17,SKU-A,86
2023-01-18,SKU-A,101
2023-01-19,SKU-A,112
2023-01-20,SKU-A,96
2023-01-21,SKU-A,103
2023-01-22,SKU-A,113
2023-01-23,SKU-A,107
2023-01-24,SKU-A,118
2023-01-25,SKU-A,101
2023-01-26,SKU-A,96
2023-01-27,SKU-A,113
2023-01-28,SKU-A,85
2023-01-29,SKU-A,85
2023-01-30,SKU-A,113
2023-01-31,SKU-A,999999
2023-02-01,SKU-A,89
2023-02-02,SKU-A,100
2023-02-03,SKU-A,84
2023-02-04,SKU-A,81
2023-02-05,SKU-A,101
2023-02-06,SKU-A,81
2023-02-07,SKU-A,89
2023-02-08,SKU-A,113
2023-02-09,SKU-A,95
2023-02-10,SKU-A,118
2023-02-11,SKU-A,101
2023-02-12,SKU-A,91
2023-02-13,SKU-A,103
2023-02-14,SKU-A,119
2023-02-15,SKU-A,117
2023-02-16,SKU-A,89
2023-02-17,SKU-A,114
2023-02-18,SKU-A,111
2023-02-19,SKU-A,86
2023-02-20,SKU-A,100
2023-02-21,SKU-A,99
2023-02-22,SKU-A,105
2023-02-23,SKU-A,83
2023-02-24,SKU-A,101
2023-02-25,SKU-A,94
2023-02-26,SKU-A,119
2023-02-27,SKU-A,100
2023-02-28,SKU-A,94
2023-03-01,SKU-A,101
2023-03-02,SKU-A,1000000
2023-03-03,SKU-A,93
2023-03-04,SKU-A,106
2023-03-05,SKU-A,119
2023-03-06,SKU-A,107
2023-03-07,SKU-A,105
2023-03-08,SKU-A,81
2023-03-09,SKU-A,104
2023-03-10,SKU-A,82
2023-03-11,SKU-A,87
2023-03-12,SKU-A,112
2023-03-13,SKU-A,114
2023-03-14,SKU-A,85
2023-03-15,SKU-A,118
2023-03-16,SKU-A,102
2023-03-17,SKU-A,104
2023-03-18,SKU-A,98
2023-03-19,SKU-A,84
2023-03-20,SKU-A,90
2023-03-21,SKU-A,91
2023-03-22,SKU-A,89
2023-03-23,SKU-A,87
2023-03-24,SKU-A,103
2023-03-25,SKU-A,107
2023-03-26,SKU-A,115
2023-03-27,SKU-A,116
2023-03-28,SKU-A,100
2023-03-29,SKU-A,87
2023-03-30,SKU-A,88
2023-03-31,SKU-A,94
